RSI,MACD,MACDSIGNAL,EMA200,EMA100,EMA50,EMA25,EMA15,EMA10,EMA5,ATR,BBANDUPPER,BBANDAVG,BBANDLOWER,OBV,valueChangeFromHere,trendDurationFromHere
52.849091690783766,0.9290582676820804,1.0085060150078222,11.004599999999996,11.737800000000002,12.9822,15.298000039999998,15.243333400000004,15.629000200000002,15.370000200000002,1.3271430714285717,18.859916320721794,15.18809519047619,11.516274060230584,-109801600,-0.2598010532475131,3
63.079220765437846,0.9556738741219295,0.9704493111811803,11.032899999999994,11.789600000000002,13.119999999999997,15.286799999999996,15.292000066666668,15.6250001,16.2160002,1.178571571428572,18.971255466315977,15.379047571428574,11.78683967654117,-40267700,-0.2519219396806623,2
59.815732131008915,0.8951357277701835,0.9634915634720639,11.062149999999995,11.839100000000004,13.247799999999998,15.230399959999998,15.450000066666668,15.5690001,16.680000200000002,1.2378572857142862,18.90386015610699,15.529999952380955,12.156139748654919,10005700,-0.19835234474017738,1
48.38709696339039,0.5100699004297624,0.782781352699529,11.080199999999996,11.863800000000003,13.320799999999997,15.106799959999996,15.426000066666667,15.1910001,15.886000000000001,1.455714428571429,18.941893641417835,15.512380904761905,12.082868168105977,39809500,0.36758885375494066,6
36.18564840051158,0.21565744219902605,0.6356762204532951,11.093349999999996,11.885400000000002,13.375399999999999,15.081599959999998,15.396000066666668,14.8770001,15.036000000000001,1.1857143571428577,18.855428242439675,15.307142857142857,11.758857471846039,15472400,0.35686266666666666,5
34.95934700965655,-0.07375229543490924,0.39634146741497095,11.101599999999996,11.920700000000002,13.400999999999996,15.08079996,15.150666800000002,14.7820001,14.193999999999999,1.1600000000000006,18.686016279247525,15.100952428571428,11.515888577895334,-17229800,0.34316762422360236,4
39.82365907421014,-0.283273086335333,0.11812967571870144,11.113600000000002,11.950800000000001,13.414999999999997,15.119199960000001,14.9253334,14.8710001,13.526,1.159285571428572,18.38695825760398,14.91380957142857,11.440660885253163,-71899700,0.2748709653647752,3
50.928699820251644,-0.15724871753618785,-0.015024418956630746,11.148349999999999,12.000500000000002,13.524799999999997,15.26799996,14.952000066666667,15.199000100000001,13.718,1.3721426428571433,18.460386934396013,14.940476238095238,11.420565541794463,-116693500,0.0334527479091996,2
53.63636363636364,-0.004288610647265045,-0.07041191173641773,11.189199999999998,12.062899999999999,13.669400000000001,15.269199999999998,14.996000066666666,15.246,14.606,1.3349997142857148,18.67954101059741,15.115714333333333,11.551887656069256,-160211000,0.012287829139847854,1
61.843000808395956,0.25547122782503706,0.07000959072745754,11.228749994999998,12.131499990000002,13.828599979999996,15.2728,15.090000000000002,15.275999899999999,15.5159998,1.1921425000000008,18.869384907678764,15.320000000000002,11.77061509232124,-216190000,-0.2809248139262898,4
66.56870681161794,0.4029126939044261,0.09138096771254409,11.259199999999998,12.2071,13.9706,15.26040004,15.314000066666665,15.285999999999998,16.377999999999997,1.1314281428571433,19.01196147842579,15.51000004761905,12.008038616812312,-162377000,-0.27632348596140277,3
62.16216865514309,0.46945463939083254,0.14212788222383013,11.285650005,12.282000009999999,14.074000020000001,15.281200079999998,15.582000133333334,15.265000099999998,17.0040002,1.1092853571428576,19.027121233687215,15.516666809523807,12.0062123853604,-117648600,-0.2550898649646788,2
44.09990803615196,0.3768351187444061,0.16987288771679843,11.312200005,12.32800001,14.19260002,15.35480008,15.701333466666664,15.212000100000001,16.7060002,0.9821425714285719,18.888148138473156,15.43571438095238,11.983280623431604,-52786200,-0.18426229508196726,1
33.76068144739052,0.01438596570549322,0.0909018688798808,11.328950005000001,12.33380001,14.249600020000003,15.33200008,15.422666733333331,15.1910001,15.776000199999999,1.1757140714285714,18.901708251834577,15.250000095238095,11.598291938641612,-10180500,0.3689711414790996,6
35.32684079650081,-0.25498641256308296,-0.008247348162678136,11.345300004999999,12.353300009999998,14.290200020000002,15.31880008,15.147333399999999,15.2030001,14.8900004,1.1999999285714285,18.826638800588256,15.080476285714285,11.334313770840314,-37043700,0.3232324009324009,5
37.1467935419426,-0.416929240430008,-0.07565180910963815,11.356600004999997,12.381100009999997,14.324800020000003,15.18360012,14.886666733333334,15.233000099999998,14.0880002,1.1757142857142857,18.763286450381326,14.951428666666667,11.139570882952007,-76160200,0.29210933232169944,4
52.72189661076311,-0.22517293954092032,-0.061940346309791394,11.383550009999999,12.452800019999998,14.472600040000001,15.173600119999998,14.872666799999998,15.546000199999998,14.0880002,1.3535715000000004,18.934962581327984,15.088095380952378,11.24122818057677,-109414700,0.019760477858653917,3
65.23605368183887,0.01915915947397906,0.04740335126095966,11.417550009999998,12.519200019999998,14.628800040000002,15.19640012,14.948000133333332,15.563000200000001,14.420000199999999,1.151428642857143,19.05300520100618,15.289523952380954,11.526042703755728,-146467100,0.007096451803666379,2
65.21116896366055,0.17524289351947608,0.030499169274528153,11.455500009999996,12.587200019999997,14.755600040000001,15.21920012,15.238000133333335,15.5540002,15.3320002,1.1728572142857145,19.195722101363955,15.458095380952381,11.720468660540805,-208185700,0.0017647647058822713,1
64.96035075417093,0.30460205394913586,0.02372919110716904,11.490450014999997,12.655800029999998,14.870600060000001,15.26480016,15.523333533333334,15.5270004,16.1640004,1.171428642857143,19.24349577158293,15.477619190476188,11.711742609369448,-237199700,-0.2431004554844124,3
56.33039945836153,0.2524803749862201,-0.010124140405681695,11.514300014999995,12.715300029999998,14.920400060000002,15.329200159999997,15.694000199999998,15.352000299999997,16.616000399999997,1.260000142857143,19.107191821899796,15.403333476190474,11.699475130481149,-182380500,-0.16515544041450772,2
